DZIEN	ILE_NUMEROW
2013-05-24	642341
2013-10-01	563460
2013-12-12	515155
2012-10-11	659996
2012-09-23	532181
2013-02-01	636616
2013-03-22	548301
2013-07-04	585633
2014-01-28	495335
2013-02-12	609666
2013-07-15	696537
2012-11-02	710554
2013-07-19	583267
2013-07-10	627174
2013-12-23	609542
2012-08-13	560870
2014-03-08	482861
2014-06-18	552794
2013-02-11	659293
2013-07-22	590366
2012-10-29	850245
2012-12-27	710325
2012-12-28	794900
2014-05-15	534073
2014-07-01	502172
2012-09-05	696261
2013-02-03	522321
2014-02-22	413673
2013-02-06	599513
2013-09-08	413116
2014-04-14	510899
2014-02-11	478497
2013-01-05	663513
2013-04-05	644083
2013-04-18	603216
2013-06-20	601870
2013-12-26	324711
2012-12-22	768267
2013-03-04	609252
2014-02-13	522957
2014-07-09	571840
2012-08-04	436171
2012-08-18	506095
2012-11-13	705965
2013-07-24	581188
2013-10-03	599192
2013-12-13	578373
2014-04-01	502631
2013-08-16	593246
2013-11-25	606683
2014-05-12	514741
2013-03-31	429743
2013-11-29	554644
2012-11-25	569517
2013-05-21	583780
2012-12-21	812076
2012-12-01	590238
2013-02-23	566670
2013-10-05	545148
2014-01-01	378131
2014-08-03	395296
2012-09-06	636836
2013-12-30	514243
2013-01-23	643374
2014-02-21	470052
2014-05-11	362983
2012-11-01	429390
2013-07-01	670888
2013-09-21	469262
2014-05-20	458838
2014-03-12	460472
2012-08-10	581914
2012-10-17	730472
2013-10-23	562615
2014-05-25	428585
2013-07-09	701214
2012-12-19	677726
2013-05-25	657751
2014-02-23	390420
2012-08-05	369792
2013-01-15	717030
2013-03-09	611971
2013-09-12	545431
2014-02-15	484643
2014-01-23	482657
2013-10-04	551712
2014-01-29	451492
2012-10-14	478894
2013-03-26	549472
2013-08-22	558617
2014-03-28	529368
2013-05-10	693469
2013-09-26	546334
2014-07-22	439654
2012-10-04	622963
2012-10-13	648244
2013-04-29	583862
2013-05-20	645356
2013-10-31	630011
2012-08-31	712903
2013-11-01	352582
2013-11-04	599112
2012-10-28	638629
2012-10-19	785577
2012-09-01	592058
2013-03-16	503463
2013-06-07	635343
2012-10-06	569978
2013-03-15	642376
2014-06-20	473086
2012-08-02	508788
2014-01-27	467306
2014-02-14	530669
2014-03-16	356956
2014-03-18	506064
2013-04-04	562024
2013-05-31	674902
2013-07-08	607698
2013-09-04	549154
2014-03-02	366508
2014-07-11	1351203
2013-02-05	681567
2013-06-30	519287
2013-10-02	523763
2013-12-07	462633
2012-10-23	864374
2014-03-04	494601
2013-10-24	533726
2012-08-22	526993
2013-02-15	699289
2013-04-22	585954
2013-11-11	379756
2013-12-29	354879
2013-01-04	673153
2013-04-11	567598
2012-10-03	713978
2013-03-27	541998
2013-04-23	631876
2014-03-26	467371
2014-04-26	428981
2012-09-26	640061
2013-01-12	588075
2013-10-09	640036
2012-09-08	569415
2013-08-17	493101
2012-09-10	700154
2013-12-19	537532
2014-05-05	585466
2013-03-02	500760
2014-01-19	351879
2014-03-01	545682
2014-04-21	302552
2014-05-06	470459
2012-12-26	501899
2013-07-17	566011
2012-10-09	694182
2013-07-26	655719
2014-02-12	461756
2014-03-09	428113
2012-09-21	620285
2013-03-21	531789
2013-03-01	670533
2014-01-03	528042
2013-01-01	535741
2013-04-24	555360
2012-11-07	583156
2013-12-02	535894
2014-02-08	432382
2012-08-21	538932
2013-03-17	402419
2013-04-12	578535
2013-08-26	607512
2013-01-19	543786
2013-05-27	612753
2013-06-05	670429
2014-05-09	626314
2012-10-26	709425
2013-08-07	542824
2014-03-23	391735
2014-07-13	458910
2014-04-15	537956
2012-08-30	600817
2013-07-05	679818
2013-11-21	503701
2013-04-10	605757
2013-11-07	586306
2014-04-04	492693
2014-06-06	499892
2014-06-10	523655
2013-03-03	502461
2013-12-27	495621
2014-07-07	480241
2013-09-17	568213
2014-06-27	496683
2012-11-17	572659
2013-09-02	607181
2013-01-08	593242
2013-08-11	451576
2014-05-10	463401
2014-06-24	486923
2012-10-25	856458
2013-01-24	597157
2013-12-10	643392
2012-11-19	668574
2013-01-20	447160
2013-07-25	696304
2014-01-16	473854
2013-06-21	622245
2013-11-24	414059
2013-11-27	496014
2013-04-27	501402
2013-04-09	660581
2014-04-19	495420
2013-04-21	419816
2013-05-23	672046
2014-06-23	563389
2012-10-18	743359
2012-12-20	735636
2014-01-08	448119
2014-06-14	439060
2013-02-21	541782
2014-01-02	480429
2012-11-26	671026
2013-02-19	539042
2013-10-28	607944
2014-07-21	468384
2012-12-30	487421
2013-11-06	508524
2014-03-15	476056
2012-08-11	474847
2012-11-09	751156
2013-11-02	450146
2014-07-27	342353
2012-11-22	605853
2013-03-13	649470
2014-01-21	483426
2013-04-07	393242
2013-10-12	487563
2013-11-17	388584
2014-08-01	493395
2013-06-06	601920
2014-04-05	485601
2014-05-07	454889
2013-06-28	733319
2013-11-15	591941
2013-12-06	546733
2012-08-07	490547
2012-09-11	637188
2012-12-16	529048
2013-03-24	398297
